Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,305.80999755859375,311.3699951171875,302.2099914550781,310.4200134277344,308.5305480957031,2968100
2022-05-03,311.5199890136719,319.5199890136719,311.32000732421875,314.6600036621094,312.7447204589844,2606200
2022-05-04,315.8299865722656,324.79998779296875,312.1700134277344,324.1099853515625,322.1371765136719,2629400
2022-05-05,320.5,320.67999267578125,308.69000244140625,313.07000732421875,311.1643981933594,2622100
2022-05-06,312.2799987792969,313.7099914550781,306.05999755859375,312.9599914550781,311.0550537109375,2375600
2022-05-09,308.9200134277344,313.7699890136719,304.9800109863281,308.8900146484375,307.0098571777344,3234000
2022-05-10,311.7200012207031,315.1499938964844,300.6499938964844,305.05999755859375,303.2031555175781,2798400
2022-05-11,305.05999755859375,310.9100036621094,301.0,301.54998779296875,299.7145080566406,2320600
2022-05-12,300.0,302.8900146484375,293.8999938964844,299.4100036621094,297.5875549316406,3408300
2022-05-13,303.6300048828125,309.6300048828125,303.57000732421875,306.989990234375,305.12139892578125,2152500
2022-05-16,305.95001220703125,306.4700012207031,300.54998779296875,303.44000244140625,301.593017578125,1568800
2022-05-17,309.8699951171875,314.32000732421875,308.1300048828125,312.9700012207031,311.06500244140625,2096200
2022-05-18,309.0,312.8599853515625,304.8800048828125,306.7300109863281,304.8630065917969,2033200
2022-05-19,303.82000732421875,309.989990234375,303.3900146484375,308.20001220703125,306.3240661621094,2108800
2022-05-20,311.260009765625,312.5899963378906,299.4100036621094,306.79998779296875,304.93255615234375,2201100
2022-05-23,312.7200012207031,321.8299865722656,311.07000732421875,316.6099853515625,314.6828308105469,2653000
2022-05-24,315.3500061035156,315.79998779296875,306.42999267578125,313.95001220703125,312.0390625,1870900
2022-05-25,311.25,317.6000061035156,309.9800109863281,314.8999938964844,312.9832458496094,1929500
2022-05-26,318.29998779296875,325.5,317.9800109863281,323.6300048828125,321.6601257324219,2440400
2022-05-27,326.75,328.6700134277344,323.19000244140625,328.5799865722656,326.5799865722656,2106700
